Name,Supports Battery Composition,How Batteries Are Defined,Task Ordering & Randomization,Multi-Session / Longitudinal Support,Participant Tracking & Management,Notes / Source
jsPsych,"Yes — the jsPsych Timeline IS the experiment/battery structure; this is the library's core design","Batteries defined in JavaScript: a top-level timeline array holds nested timeline nodes (each node = a task block, with its own randomization, loop, and conditional settings); multiple tasks chained by simply appending them to the timeline","Full randomization support: `randomize_order: true` per timeline node; `loop_function` repeats a block conditionally; `conditional_function` skips blocks based on logic; unlimited nesting","No built-in multi-session persistence in the core library; must be added via server/hosting layer (e.g., JATOS supports multi-session tracking)","No built-in participant management; depends entirely on hosting layer (JATOS provides a study/participant GUI; Cognition.run provides link-based tracking)","jspsych.org/7.0/overview/timeline/"
PsychoPy / PsychoJS,"Yes — the Builder Flow panel composes a multi-task battery visually","Battery defined in Builder as a Flow: ordered sequence of Routines (each Routine = one task or task block) connected in a visual flowchart; Loops nest around one or more Routines to repeat/vary them; blocks/counterbalancing supported via conditions files","Randomization via Loop settings (random order); counterbalancing via external conditions CSV; nested loops supported for block designs","No built-in multi-session persistence; PsychoPy/PsychoJS produces a single-session experiment; multi-session requires external coordination","No built-in participant management; Pavlovia provides basic session tracking/data management per experiment; researcher manually directs participants","psychopy.org/builder/flow.html; psychopy.org/builder/blocksCounterbalance.html"
OpenSesame,"Yes — tree-based structure of Sequences and Loops composes multi-block/multi-task batteries","Battery defined as a hierarchical tree: Sequences chain items one after another; Loops repeat a Sequence with varied parameters; conditional `run if` rules allow branching; multiple task types composed by nesting in a top-level Sequence","Randomization: Loop item has a random order setting; counterbalancing via conditions table; `run if` rules enable conditional task inclusion","No multi-session persistence in OpenSesame/OSWeb itself; single-session experiment; multi-session requires external coordination","No participant management built in; hosting via JATOS adds session tracking/participant progress for OSWeb experiments","osdoc.cogsci.nl/3.2/manual/structure/loop/"
Expyriment,"Partial — code-level block/trial composition (no GUI)","Batteries defined programmatically: Experiment → Block → Trial hierarchy; multiple blocks with different task types composed in Python code; no GUI battery builder","Randomization of blocks/trials done manually in code (e.g., `random.shuffle()`); no built-in counterbalancing helper","No built-in multi-session support","No participant management","expyriment.org"
Psychtoolbox-3,"No — no battery management tools","N/A — sequencing is entirely manual MATLAB/Octave code; no battery framework","Manual code only","No","No","psychtoolbox.org"
PsyBuilder,"No — GUI generates a single Psychtoolbox experiment","N/A","N/A","No","No","Lin et al. 2022, SAGE"
lab.js,"Yes — Sequence and Loop components in the visual builder compose a multi-component study","Battery defined visually: drag-and-drop Sequence components chain multiple screens/tasks; Loop components repeat a Sequence with varied parameters; components can be arbitrarily nested","Randomization: Loop has a random order option; sample-without-replacement option; `if` plugin for conditional branching","No built-in multi-session persistence in the library; single-session study file; JATOS integration can add session tracking","No built-in participant management; Open Lab hosting service provides basic study link/data management","labjs.readthedocs.io/en/latest/reference/flow.html"
PsyToolkit,"Yes — explicit battery composition by embedding experiments into a survey script","Battery defined in PsyToolkit's scripting language: a survey script embeds one or more experiments inline using the `experiment` directive; experiments and questionnaires are mixed in a single study project; as many experiments as desired can be included","Task order is fixed by the script order; no built-in randomization of experiment order across participants (individual trial randomization within each task is supported per-task)","No multi-session support — one study project = one session","Participant progress tracked centrally on psytoolkit.org; data stored and downloadable from the platform's dashboard","psytoolkit.org/lessons/project.html"
MindLogger,"Yes — battery management is the platform's core architecture","Batteries (called Applets) are composed in the no-code Applet Builder: researcher assembles multiple Activities (questionnaires/tasks) into one Applet, defines a schedule (daily/weekly/one-time), and assigns the Applet to a participant group","Activity order within an Applet is defined by the researcher; scheduled push notifications direct participants to complete activities at specified times; conditional logic can skip activities based on prior responses","Yes — explicit longitudinal/EMA design: recurring scheduled administration across days/weeks/months; supports both fixed-schedule and event-contingent triggers","Researcher dashboard shows individual participant completion status; admin panel manages participant enrollment/groups/assignments; bulk CSV upload for scheduling","PMC8663601 (MindLogger Platform Study)"
Concerto Platform,"Yes — flowchart-based test composition","Battery defined as a Concerto ""Test"" flowchart: nodes represent pages/instruments/feedback blocks; arrows connect them in sequence; branching nodes route participants conditionally; multiple questionnaires or CAT instruments chained into one test protocol","Order defined by flowchart structure; conditional R-based branching routes participants to different instruments based on prior responses (adaptive branching)","No built-in multi-session scheduler; Concerto tests are single-session by default; multi-session would require external scheduling and separate test links","Admin interface lists all active test takers and their progress; access-controlled by user roles (administrator/test taker)","concertoplatform.com; PMC7661245"
IAT implementations (multiple independent repos),"No — single-task only","N/A — each repo is a single IAT experiment","N/A","No","No","—"
