Name,Built-in Scoring,Results Review / Dashboard,Interpretation & Normative Data,Notes / Source
jsPsych,"No automatic scoring — researchers manually compute a `correct` field in trial callbacks (e.g., via `jsPsych.pluginAPI.compareKeys()`); library provides post-hoc data-filtering utilities (`jsPsych.data.get().filter()`)","No dashboard built into the library itself (whatever hosting service is used — e.g., JATOS — may add one)",None,jspsych.org data module docs
PsychoPy / PsychoJS,Partial — built-in adaptive staircase/QUEST handlers automatically estimate psychophysical thresholds (mean/mode/quantile methods); no scoring for cognitive/clinical tasks,No participant-results dashboard in the library itself; Pavlovia gives researchers a basic session/data-management view,None beyond psychophysical threshold statistics,psychopy.org QuestHandler docs
OpenSesame,"Partial — separate community add-ons (e.g., OpenSesame Toolbox, Questionnaire Processor) can summarize/score multiple-choice questionnaires, but this isn't core to OpenSesame itself",No,None,GitHub dev-jam/opensesame-toolbox
Expyriment,No,No,No,Pure stimulus-presentation/response-collection library
Psychtoolbox-3,"No general scoring; ships its own QUEST-style threshold-fitting routines for psychophysics, similar in scope to PsychoPy's",No,No,—
PsyBuilder,No — GUI only generates Psychtoolbox code; scoring is the researcher's responsibility,No,No,—
lab.js,No built-in scoring; exports raw JSON/CSV,"Partial — the companion Open Lab hosting service gives researchers a basic dashboard for monitoring data collection (session counts, completion), not score interpretation",None,open-lab.online
PsyToolkit,"Yes — can score survey scales live during the session (real-time subscale/total scoring), enabling immediate participant feedback","Yes — a built-in """"quick overview of data"""" feature gives basic descriptive review without leaving the platform",Basic — descriptive statistics only via its built-in tools and companion R library; no clinical norms/percentiles built in,psytoolkit.org/features.html; psytoolkit.org/doc3.0.0/analyze_data.html
MindLogger,Yes — applets can implement automated scoring logic for validated questionnaires via conditional scoring rules in the applet builder,Yes — dedicated researcher-facing data dashboard for viewing individual and aggregate participant responses,"Limited — no built-in clinical cutoffs/norms beyond whatever scoring logic the applet author encodes (e.g., a PHQ-9 cutoff must be manually built into the applet)",JMIR 2021;23(11):e22369 (MindLogger Platform Development Study)
Concerto Platform,"Yes, extensively — built-in IRT/CAT scoring algorithms compute theta (ability) estimates and standard errors of measurement live during testing",Yes — admin interface for monitoring and reviewing respondent results,"Yes — explicitly supports comparison to normative values, automatic report generation, personalized written feedback, and trend/radial plots for multi-dimensional interpretation; the most clinically complete of all platforms reviewed",PMC7661245 (Concerto + CAT + ML for patient-reported outcomes); ehps.net Concerto introduction article
IAT implementations (multiple independent repos),"Yes — the D-score (Greenwald algorithm) is a standard, well-documented effect-size scoring method; dedicated downstream tools exist separate from test-delivery code (DscoreApp, implicitMeasures R package — 6 D-score variants, implicitApp)",Depends on implementation — most delivery repos just export raw latencies; scoring is typically a separate downstream step using the tools above,No formal clinical norms shipped with the open-source code; Project Implicit's own site provides population-level comparison context separately,Frontiers 10.3389/fpsyg.2019.02938 (DscoreApp); github.com/OttaviaE/implicitMeasures
